date,rate,daily_return_pct,log_return,ma_7d,ma_21d,ma_63d,volatility_20d,year,month,day_of_week
1999-01-04,0.5303432453101804,,,0.5303432453101804,0.5303432453101804,0.5303432453101804,,1999,1,0
1999-01-05,0.535641270273954,0.9989803793343244,0.009940235548095089,0.5329922577920672,0.5329922577920672,0.5329922577920672,,1999,1,1
1999-01-06,0.536455002284148,0.1519173475519775,0.0015180206988596456,0.5341465059560941,0.5341465059560941,0.5341465059560941,0.5989640138657335,1999,1,2
1999-01-07,0.5402442989178394,0.7063587099676916,0.007038756826946657,0.5356709541965304,0.5356709541965304,0.5356709541965304,0.4302225093972903,1999,1,3
1999-01-08,0.540845201094772,0.11122786082817804,0.0011116604847385414,0.5367058035761787,0.5367058035761787,0.5367058035761787,0.433444473721258,1999,1,4
1999-01-11,0.5442442489532859,0.628469634496831,0.006265029995905613,0.53796221113903,0.53796221113903,0.53796221113903,0.3802943199899246,1999,1,0
1999-01-12,0.5431400282885431,-0.20289064457116313,-0.002030967464609179,0.5387018993032461,0.5387018993032461,0.5387018993032461,0.45016377773301264,1999,1,1
1999-01-13,0.540103016924209,-0.5591580819229724,-0.005607272227782123,0.5400961523909645,0.5388770390058665,0.5388770390058665,0.5477482624096951,1999,1,2
1999-01-14,0.5402410755679184,0.025561539073715167,0.0002555827266893518,0.5407532674329595,0.5390285986238723,0.5390285986238723,0.5139674430223343,1999,1,3
1999-01-15,0.5386896487813919,-0.2871730523073657,-0.0028758618524443724,0.5410725026468514,0.5389947036396242,0.5389947036396242,0.5110338830581234,1999,1,4
1999-01-18,0.5358312952794057,-0.5306122938230518,-0.005320250405427163,0.5404420735556467,0.5387071210614226,0.5387071210614226,0.5309429880856283,1999,1,0
1999-01-19,0.5374294438789673,0.298255927498281,0.002978120269276574,0.5399541082391031,0.5386006479628845,0.5386006479628845,0.507081290064202,1999,1,1
1999-01-20,0.5383971347504535,0.1800591468345658,0.001798972346820471,0.539118806210127,0.5385849931003899,0.5385849931003899,0.4837744213267338,1999,1,2
1999-01-21,0.5385080738982736,0.02060544914890272,0.00020603326517809606,0.5384570984400885,0.5385794988716673,0.5385794988716673,0.4641133607499108,1999,1,3
1999-01-22,0.5375249779264836,-0.18255918888520073,-0.0018272603126074927,0.5380888071546991,0.5385091974753217,0.5385091974753217,0.4531110008340231,1999,1,4
1999-01-25,0.5348354032965511,-0.5003627255253495,-0.005016187312855913,0.5373165682587896,0.5382795853391485,0.5382795853391485,0.4630766929149661,1999,1,0
1999-01-26,0.5344962850154598,-0.06340610195232355,-0.0006342621212230837,0.5367175162922277,0.5380570382612845,0.5380570382612845,0.4483902541458866,1999,1,1
1999-01-27,0.5338983050847457,-0.11187728474049141,-0.0011193991409106374,0.5364413748358478,0.5378259975292546,0.5378259975292546,0.43591715133720743,1999,1,2
1999-01-28,0.5340510180201264,0.028603375198299474,0.0002859928521282695,0.5359587425702991,0.5376273143971952,0.5376273143971952,0.42291058792374625,1999,1,3
1999-01-29,0.5393471360212252,0.9916876520024154,0.009868026991074474,0.5360944570375522,0.5377133054783967,0.5377133054783967,0.46543583469878796,1999,1,4
1999-02-01,0.543502229039835,0.7703930810242232,0.007674407070892064,0.536807907772061,0.5379889685051319,0.5379889685051319,0.4779103027692977,1999,2,0
1999-02-02,0.5460982658959537,0.477649716488715,0.004765125897810973,0.538032663196271,0.5387392075806449,0.5383575729319874,0.4404033126090711,1999,2,1
1999-02-03,0.5512496353204317,0.9433044831274939,0.009388831490689031,0.5403775534853968,0.5394824630590487,0.5389180973836589,0.4793657068248514,1999,2,2
